playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2023,Igor Shesterkin,NYR,G,other,15,1608.0,2.53,0.0,53.0,1.75,4.0,4.62,0.0,21.59,21.0,0.67,1.0,13.13,16.0,6.22,9.0,2.42,20.0,5.0,4.0,0.74,0.54,1.25,0.0,0.0,0.0,24.0,0.0,0.0
8478048,2023,Igor Shesterkin,NYR,G,all,15,52389.0,46.89,40.0,926.0,32.62,58.0,116.12,18.0,475.23,450.0,15.39,2.0,255.56,287.0,183.48,242.0,44.39,472.0,124.0,55.0,13.52,15.18,18.2,11.0,16.0,13.0,275.0,2.0,1.0
8478048,2023,Igor Shesterkin,NYR,G,5on5,15,41439.0,29.8,28.0,697.0,22.85,40.0,91.2,14.0,357.1,338.0,11.34,1.0,190.37,216.0,141.62,185.0,28.6,370.0,87.0,31.0,9.95,11.03,8.82,10.0,11.0,7.0,209.0,2.0,1.0
8478048,2023,Igor Shesterkin,NYR,G,4on5,15,5112.0,13.06,10.0,147.0,7.09,13.0,17.34,4.0,78.11,72.0,0.38,0.0,44.97,48.0,23.83,33.0,12.0,64.0,26.0,19.0,2.27,2.96,7.83,1.0,3.0,6.0,38.0,0.0,0.0
8478048,2023,Igor Shesterkin,NYR,G,5on4,15,4230.0,0.79,2.0,20.0,0.51,0.0,1.62,0.0,12.66,14.0,2.94,0.0,3.95,2.0,9.7,13.0,0.77,13.0,4.0,0.0,0.3,0.48,0.0,0.0,2.0,0.0,3.0,0.0,0.0
8477967,2023,Thatcher Demko,VAN,G,other,19,2067.0,5.58,2.0,49.0,2.19,6.0,5.21,0.0,27.81,23.0,0.73,1.0,13.53,17.0,9.43,12.0,5.09,17.0,12.0,8.0,0.64,1.63,3.31,0.0,0.0,2.0,12.0,0.0,0.0
8477967,2023,Thatcher Demko,VAN,G,all,19,67310.0,56.14,46.0,1056.0,40.01,68.0,136.61,30.0,566.13,555.0,19.31,4.0,301.86,350.0,222.77,281.0,53.74,566.0,136.0,75.0,15.32,17.25,23.57,13.0,13.0,20.0,279.0,0.0,0.0
8477967,2023,Thatcher Demko,VAN,G,5on5,19,53611.0,38.92,31.0,805.0,28.42,52.0,109.61,23.0,430.2,414.0,14.68,3.0,227.52,264.0,171.68,219.0,37.75,442.0,99.0,50.0,12.11,12.63,14.17,13.0,8.0,10.0,214.0,0.0,0.0
8477967,2023,Thatcher Demko,VAN,G,4on5,19,5438.0,9.96,13.0,173.0,8.53,9.0,19.0,7.0,89.49,100.0,0.45,0.0,54.53,61.0,27.96,33.0,9.27,89.0,20.0,14.0,2.21,2.54,5.21,0.0,5.0,8.0,50.0,0.0,0.0
8477967,2023,Thatcher Demko,VAN,G,5on4,19,6194.0,1.69,0.0,29.0,0.88,1.0,2.79,0.0,18.63,18.0,3.45,0.0,6.29,8.0,13.69,17.0,1.63,18.0,5.0,3.0,0.35,0.45,0.88,0.0,0.0,0.0,3.0,0.0,0.0
8478872,2023,Karel Vejmelka,ARI,G,other,11,1140.0,3.67,5.0,31.0,1.3,2.0,3.01,1.0,17.78,18.0,0.3,0.0,8.49,7.0,5.97,8.0,3.1,8.0,9.0,6.0,0.38,1.2,2.1,3.0,1.0,1.0,8.0,0.0,0.0
8478872,2023,Karel Vejmelka,ARI,G,all,11,36555.0,29.06,35.0,606.0,21.22,26.0,77.57,15.0,322.57,323.0,8.68,1.0,175.49,188.0,131.78,178.0,27.67,337.0,84.0,25.0,9.78,10.32,8.96,14.0,11.0,10.0,160.0,0.0,0.0
