playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2023,Ilya Lyubushkin,ANA,D,other,25,1064.0,19.0,0.65,0.49,0.51,0.27,0.61,0.32,0.6,77.0,0.65,0.03,0.06,0.09,0.02,0.61,0.19,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.46,0.0,0.05,0.05,0.05,19.0,2.0,3.0,6.0,8.0,1.0,7.0,3.0,8.0,0.0,0.0,3428.0,0.0,2.0,1.0,5.0,7.89,3.33,2.9,3.33,2.9,7.0,4.0,1.0,12.0,2.0,1.0,0.0,6.0,0.0,5.0,0.16,0.0,3.17,0.0,0.0,2.0,12.0,11.0,11.0,0.11,0.46,0.46,2.99,2.99,2.56,17.97,3.53,2.34,3.53,2.34,16.0,7.0,10.0,33.0,2.0,3.0,0.0,8.0,10.0,5.0,0.26,1.34,1.93,0.0,2.0,0.0,33.0,23.0,23.0,0.4,1.41,1.41,2.53,2.53,1.97,8.3,7.83,91.0,57.0,0.06,0.0,2.0,0.0,2.0,0.0
8480950,2023,Ilya Lyubushkin,ANA,D,all,25,25685.0,548.0,-0.13,0.37,0.51,0.37,0.52,0.38,0.51,105.0,19.92,1.37,1.03,5.72,0.66,10.32,7.91,1.31,1.31,1.26,1.0,1.0,19.0,8.0,17.0,44.0,2.0,0.0,2.0,0.0,1.0,0.0,14.0,10.0,19.0,27.0,11.0,22.0,0.0,48.0,9.0,11.0,23.0,3.0,1.0,0.59,0.38,0.4,0.0,0.0,0.0,42.89,27.0,26.28,11.0,0.22,0.65,0.45,1.14,1.11,1.09,548.0,52.0,88.0,86.0,322.0,53.0,92.0,63.0,340.0,0.0,0.0,65090.0,22.0,8.0,4.0,66.0,181.15,17.57,16.65,17.14,16.24,181.0,65.0,77.0,323.0,13.0,18.0,2.0,191.0,36.0,19.0,5.38,4.66,7.54,0.0,6.0,7.0,312.6,246.0,237.81,2.33,4.38,4.38,15.52,15.18,14.55,292.28,30.15,27.64,30.54,28.02,289.0,110.0,162.0,561.0,31.0,37.0,6.0,274.0,90.0,35.0,7.74,11.17,11.24,9.0,12.0,10.0,573.31,399.0,407.62,4.93,8.63,8.63,26.44,26.84,25.61,56.98,55.25,1088.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,ANA,D,5on5,25,20357.0,431.0,-0.13,0.43,0.5,0.45,0.5,0.46,0.5,114.0,17.61,1.3,0.92,5.23,0.59,9.27,6.7,1.25,1.24,1.19,1.0,1.0,16.0,8.0,16.0,40.0,2.0,0.0,1.0,0.0,1.0,0.0,13.0,9.0,16.0,24.0,10.0,20.0,0.0,38.0,8.0,9.0,20.0,3.0,1.0,0.52,0.38,0.4,0.0,0.0,0.0,38.89,24.0,23.28,9.0,0.19,0.19,0.45,1.04,1.01,0.99,431.0,49.0,33.0,71.0,278.0,48.0,66.0,46.0,271.0,0.0,0.0,48128.0,20.0,6.0,3.0,38.0,166.69,13.77,13.29,13.34,12.88,168.0,59.0,74.0,301.0,10.0,17.0,2.0,178.0,36.0,13.0,5.12,4.66,4.0,0.0,6.0,4.0,290.6,227.0,218.81,2.15,3.92,3.92,12.01,11.67,11.47,194.36,18.1,17.28,18.48,17.65,191.0,74.0,107.0,372.0,20.0,23.0,4.0,190.0,52.0,23.0,5.48,6.64,5.98,6.0,8.0,6.0,384.31,265.0,273.62,2.77,4.91,4.91,15.96,16.36,16.03,32.49,33.1,740.0,743.0,2.02,0.18,47.0,3.0,35.0,3.0
8480950,2023,Ilya Lyubushkin,ANA,D,4on5,25,4235.0,94.0,-0.13,0.05,0.16,0.05,0.14,0.07,0.17,73.0,1.66,0.04,0.05,0.4,0.05,0.43,1.02,0.04,0.04,0.04,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,10.0,1.0,2.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.01,0.0,0.0,0.05,0.05,0.05,94.0,1.0,52.0,9.0,32.0,4.0,18.0,14.0,58.0,0.0,0.0,5788.0,2.0,0.0,0.0,0.0,6.56,0.46,0.46,0.46,0.46,6.0,2.0,1.0,9.0,1.0,0.0,0.0,7.0,0.0,1.0,0.1,0.0,0.36,0.0,0.0,1.0,9.0,8.0,8.0,0.06,0.0,0.0,0.53,0.53,0.52,79.96,8.52,8.02,8.52,8.02,82.0,29.0,45.0,156.0,9.0,11.0,2.0,76.0,28.0,7.0,2.0,3.19,3.33,3.0,2.0,4.0,156.0,111.0,111.0,1.75,2.31,2.31,7.95,7.95,7.61,2.02,10.54,31.0,184.0,0.01,0.0,1.0,0.0,1.0,0.0
8480950,2023,Ilya Lyubushkin,ANA,D,5on4,25,29.0,4.0,0.85,0.0,0.81,1.0,0.87,0.0,0.88,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1460.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.57,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8477971,2023,Andreas Englund,LAK,D,other,22,24.0,0.0,0.3,0.0,0.58,0.0,0.57,0.0,0.55,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.53,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8477971,2023,Andreas Englund,LAK,D,all,22,16451.0,350.0,9.72,0.53,0.59,0.51,0.57,0.5,0.57,128.0,10.91,0.46,0.55,2.69,0.34,6.04,4.92,0.46,0.48,0.47,2.0,4.0,9.0,6.0,14.0,29.0,7.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,8.0,14.0,7.0,29.0,0.0,46.0,0.0,7.0,14.0,1.0,0.0,0.36,0.1,0.0,0.0,1.0,0.0,29.73,15.0,15.49,7.0,0.11,0.21,0.0,0.57,0.59,0.59,350.0,46.0,34.0,47.0,223.0,52.0,59.0,52.0,187.0,0.0,0.0,63607.0,29.0,37.0,11.0,23.0,136.6,13.28,12.68,13.51,12.91,132.0,53.0,79.0,264.0,17.0,20.0,2.0,134.0,32.0,19.0,4.57,3.88,4.83,6.0,5.0,6.0,274.22,185.0,190.2,1.99,3.47,3.47,11.8,12.04,11.8,134.94,12.02,10.61,12.15,10.71,139.0,47.0,70.0,256.0,10.0,14.0,4.0,145.0,28.0,13.0,4.42,3.37,4.22,3.0,4.0,3.0,251.46,186.0,184.66,2.02,3.1,3.1,10.94,10.91,9.72,66.59,46.19,1210.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0
8477971,2023,Andreas Englund,LAK,D,5on5,22,15170.0,308.0,9.72,0.56,0.6,0.54,0.57,0.53,0.58,127.0,10.91,0.46,0.55,2.69,0.34,6.04,4.92,0.46,0.48,0.47,2.0,4.0,9.0,6.0,14.0,29.0,7.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,8.0,14.0,7.0,29.0,0.0,41.0,0.0,6.0,14.0,1.0,0.0,0.36,0.1,0.0,0.0,1.0,0.0,29.73,15.0,15.49,6.0,0.11,0.21,0.0,0.57,0.59,0.59,308.0,45.0,24.0,45.0,194.0,45.0,51.0,48.0,164.0,0.0,0.0,48195.0,29.0,37.0,11.0,19.0,132.32,12.43,11.83,12.66,12.06,128.0,52.0,78.0,258.0,15.0,20.0,2.0,132.0,32.0,16.0,4.47,3.88,4.07,6.0,5.0,4.0,268.22,180.0,185.2,1.92,3.47,3.47,10.88,11.12,10.88,115.87,9.92,9.52,10.05,9.63,119.0,41.0,57.0,217.0,9.0,12.0,4.0,126.0,24.0,10.0,3.97,2.91,3.04,3.0,3.0,3.0,212.45,160.0,158.66,1.6,2.6,2.6,8.92,8.9,8.74,41.1,27.71,893.0,665.0,0.95,0.02,27.0,1.0,22.0,1.0
8477971,2023,Andreas Englund,LAK,D,4on5,22,1254.0,40.0,7.4,0.29,0.04,0.13,0.09,0.16,0.09,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,10.0,2.0,27.0,7.0,8.0,4.0,21.0,0.0,0.0,4768.0,0.0,0.0,0.0,0.0,4.28,0.85,0.85,0.85,0.85,4.0,1.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,0.1,0.0,0.76,0.0,0.0,2.0,6.0,5.0,5.0,0.06,0.0,0.0,0.92,0.92,0.92,19.06,2.1,1.09,2.1,1.09,20.0,6.0,13.0,39.0,1.0,2.0,0.0,19.0,4.0,3.0,0.46,0.46,1.18,0.0,1.0,0.0,39.0,26.0,26.0,0.42,0.5,0.5,2.02,2.02,0.98,0.48,11.6,15.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
8477971,2023,Andreas Englund,LAK,D,5on4,22,3.0,2.0,0.57,0.0,0.9,0.0,0.83,0.0,0.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.21,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
